11900112 1250 N26W73 B            5873 DAO  7 10 210 9001 6.9 9001 6.8 007 4RAMY
11900112 1535 N29W79 B            5873 CAO  4  7 150 9001 6.4 9001 6.8 467 3BOUL
11900112 1610 N26W75 B            5873 CHO  4  5 140 9001 6.8 9001 6.8 021 3HOLL
11900112 2205 N26W76 B            5873 CAO  2  6 170 9001 7.0 9001 6.8 007 2PALE
11900113 0025 N26W79 A            5873 HA   2  3  60 9001 6.9 9001 6.8 012 3LEAR
11900113 0440 N26W87 A            5873 HS   1  2 150 9001 6.4 9001 6.8 882 2CULG
11900113 0843 N26W86 A            5873 HS   1  2  30 9001 6.7 9001 6.8 015 2SVTO
11900104 1415 S17E34 A            5873AAX   1  1  10 9001 7.2 9001 7.2 009 3RAMY
11900104 1911 S16E32 A            5873AAX   1        9001 7.2 9001 7.2 008 3PALE
11900102 2235 S15E78 B            5870 BXO  3  3  10 9001 8.8 9001 8.5 004 2PALE
11900103 1329 S15E67 B            5870 BXO  3  2  10 9001 8.6 9001 8.5 004 3RAMY
11900103 1720 S14E67 B            5870 BXO  3  3     9001 8.8 9001 8.5 458 3BOUL
11900103 1805 S14E63 A            5870 AX   1        9001 8.5 9001 8.5 004 3PALE
11900104 0035 S15E57 B            5870 BXO  5  3  10 9001 8.3 9001 8.5 003 2LEAR
11900104 0908 S15E57 A            5870 AX   1        9001 8.7 9001 8.5 005 3SVTO
11900104 1415 S15E51 A            5870 AX   1  1  10 9001 8.4 9001 8.5 004 3RAMY
11900110 1439 S13W28 B            5870 DAO  6  4  40 9001 8.5 9001 8.5 016 3RAMY
11900110 1515 S13W28 B            5870 DAO  2  5  90 9001 8.5 9001 8.5 468 1BOUL
11900110 1730 S12W30 B            5870 BXO 14  5  30 9001 8.5 9001 8.5 014 1HOLL
